"","Overall","var","Variables","Resample"
"244",1.09801129358405,"title_X503",482,"Fold1"
"245",1.06705452205196,"title_X1382",482,"Fold1"
"246",1.05501065292231,"summary_X1751",482,"Fold1"
"247",1.05209961133999,"summary_X207",482,"Fold1"
"248",1.03471049164218,"summary_X750",482,"Fold1"
"249",1.03367728195041,"summary_X245",482,"Fold1"
"250",1.03055480505718,"summary_X1948",482,"Fold1"
"251",1.02564657294842,"summary_X465",482,"Fold1"
"252",1.02298197281421,"title_X198",482,"Fold1"
"253",1.01520606453015,"summary_X957",482,"Fold1"
"254",1.00102697165707,"summary_X420",482,"Fold1"
"255",1.00100150250438,"author_X223913382240",482,"Fold1"
"256",1.00100150250438,"author_X10051006",482,"Fold1"
"257",1.00100150250438,"author_X310012113101",482,"Fold1"
"258",0.976037965481243,"title_X630",482,"Fold1"
"259",0.965942336269737,"title_X2211",482,"Fold1"
"260",0.95972379338425,"summary_X646",482,"Fold1"
"261",0.91695636055824,"summary_X158",482,"Fold1"
"262",0.899476111958244,"title_X148",482,"Fold1"
"263",0.885950563796202,"summary_X415",482,"Fold1"
"264",0.874375077889896,"author_X703704",482,"Fold1"
"265",0.873023771188721,"summary_X277",482,"Fold1"
"266",0.86586029664241,"summary_X841",482,"Fold1"
"267",0.864676692072312,"title_X725",482,"Fold1"
"268",0.851915013754708,"summary_X332",482,"Fold1"
"269",0.848407494747373,"summary_X536",482,"Fold1"
"270",0.824357774501321,"title_X1984",482,"Fold1"
"271",0.797893472421263,"title_X190",482,"Fold1"
"272",0.75801779295203,"title_X370",482,"Fold1"
"273",0.735774277247091,"summary_X131",482,"Fold1"
"274",0.733555190440067,"summary_X522",482,"Fold1"
"275",0.722393787609008,"title_X538",482,"Fold1"
"276",0.710855463133307,"author_X25911319",482,"Fold1"
"277",0.704941539027849,"summary_X189",482,"Fold1"
"278",0.704739115367365,"summary_X1022",482,"Fold1"
"279",0.700180655111123,"summary_X1798",482,"Fold1"
